model-1600436283,1600436296.458,0.55,0.2498,0.51,0.2535
model-1600436283,1600436297.463,0.5,0.2499,0.45,0.2516
model-1600436283,1600436298.477,0.41,0.2585,0.46,0.2483
model-1600436283,1600436299.484,0.52,0.2395,0.62,0.2399
model-1600436283,1600436300.49,0.62,0.2432,0.49,0.2698
model-1600436283,1600436301.599,0.58,0.2273,0.57,0.2511
model-1600436283,1600436302.586,0.56,0.2422,0.57,0.243
model-1600436283,1600436303.634,0.66,0.2197,0.58,0.2442
model-1600436283,1600436304.616,0.62,0.2164,0.59,0.2348
model-1600436283,1600436305.659,0.67,0.2252,0.6,0.223
model-1600436283,1600436306.708,0.59,0.2382,0.65,0.2231
model-1600436283,1600436307.674,0.81,0.1727,0.62,0.2361
model-1600436283,1600436308.656,0.66,0.2119,0.57,0.2325
model-1600436283,1600436309.662,0.72,0.197,0.57,0.2342
model-1600436283,1600436310.67,0.67,0.2054,0.6,0.2178
model-1600436283,1600436310.771,0.77,0.1975,0.68,0.2067
model-1600436283,1600436311.777,0.7,0.219,0.65,0.2128
model-1600436283,1600436312.874,0.61,0.2222,0.67,0.2039
model-1600436283,1600436313.852,0.7,0.2019,0.68,0.2311
model-1600436283,1600436314.789,0.73,0.1659,0.74,0.197
model-1600436283,1600436315.774,0.72,0.2029,0.68,0.212
model-1600436283,1600436316.725,0.73,0.1641,0.63,0.2451
model-1600436283,1600436317.723,0.7,0.196,0.65,0.2167
model-1600436283,1600436318.698,0.64,0.2125,0.71,0.1985
model-1600436283,1600436319.684,0.7,0.2087,0.67,0.2063
model-1600436283,1600436320.642,0.61,0.2403,0.77,0.1658
model-1600436283,1600436321.619,0.86,0.1466,0.62,0.2384
model-1600436283,1600436322.633,0.64,0.1996,0.71,0.1833
model-1600436283,1600436323.769,0.84,0.1515,0.64,0.2191
model-1600436283,1600436324.812,0.73,0.165,0.7,0.177
model-1600436283,1600436324.897,0.75,0.1617,0.61,0.2512
model-1600436283,1600436325.98,0.78,0.1971,0.72,0.1886
model-1600436283,1600436327.028,0.69,0.1981,0.8,0.168
model-1600436283,1600436328.114,0.81,0.141,0.76,0.1697
model-1600436283,1600436329.163,0.8,0.1601,0.74,0.1848
model-1600436283,1600436330.168,0.73,0.1828,0.71,0.1828
model-1600436283,1600436331.231,0.77,0.147,0.75,0.1622
model-1600436283,1600436332.258,0.77,0.1659,0.68,0.2368
model-1600436283,1600436333.323,0.77,0.1872,0.77,0.1676
model-1600436283,1600436334.31,0.73,0.1766,0.69,0.1893
model-1600436283,1600436335.325,0.67,0.2254,0.72,0.1903
model-1600436283,1600436336.361,0.86,0.1237,0.76,0.164
model-1600436283,1600436337.331,0.77,0.1715,0.72,0.176
model-1600436283,1600436338.332,0.84,0.1286,0.7,0.2119
model-1600436283,1600436339.285,0.79,0.1517,0.68,0.2102
model-1600436283,1600436339.357,0.8,0.1445,0.76,0.1501
model-1600436283,1600436340.335,0.69,0.1921,0.73,0.1666
model-1600436283,1600436341.266,0.64,0.2166,0.79,0.1703
model-1600436283,1600436342.222,0.77,0.1382,0.76,0.1818
model-1600436283,1600436343.252,0.77,0.1497,0.76,0.1741
model-1600436283,1600436344.206,0.77,0.1726,0.75,0.1865
model-1600436283,1600436345.147,0.78,0.1386,0.76,0.164
model-1600436283,1600436346.178,0.8,0.1455,0.78,0.1694
